"species";"LifeForm";"Region";"off_FirstRec"
"Maeotias marginata";"Invertebrates (excl. Arthropods, Molluscs)";"Finland";2012
"Centroceras clavulatum";"Algae";"France";2014
"Gracilariopsis chorda";"Algae";"France";2010
"Hildenbrandia occidentalis";"Algae";"France";2011
"Melanothamnus flavimarinus";"Algae";"France";2010
"Ulva ohnoi";"Algae";"France";2015
"Xylella fastidiosa";"Bacteria and protozoans";"France";2015
"Amathia verticillata";"Bryozoa";"France";2015
"Ampithoe valida";"Crustaceans";"France";2014
"Aoroides longimerus";"Crustaceans";"France";2013
"Caprella scaura";"Crustaceans";"France";2014
"Grandidierella japonica";"Crustaceans";"France";2010
"Guinearma alberti";"Crustaceans";"France";2016
"Ianiropsis serricaudis";"Crustaceans";"France";2013
"Neomysis americana";"Crustaceans";"France";2017
"Paracerceis sculpta";"Crustaceans";"France";2014
"Penaeus aztecus";"Crustaceans";"France";2015
"Penaeus semisulcatus";"Crustaceans";"France";2016
"Percnon gibbesi";"Crustaceans";"France";2014
"Ptilohyale littoralis";"Crustaceans";"France";2014
"Sinelobus stanfordi";"Crustaceans";"France";2016
"Synidotea laticauda";"Crustaceans";"France";2017
"Neonectria neomacrospora";"Fungi";"France";2017
"Aleuroclava aucubae";"Insects";"France";2013
"Anoplophora glabripennis";"Insects";"France";2013
"Batrachedra knabi";"Insects";"France";2016
"Blepharidopterus chlorionis";"Insects";"France";2011
"Callopistromyia annulipes";"Insects";"France";2011
"Carpomya incompleta";"Insects";"France";2012
"Corythucha arcuata";"Insects";"France";2017
"Cyclorhipidion fukiense";"Insects";"France";2013
"Dryocosmus kuriphilus";"Insects";"France";2010
"Glycaspis brimblecombei";"Insects";"France";2011
"Halyomorpha halys";"Insects";"France";2012
"Megabruchidius dorsalis";"Insects";"France";2012
"Platylomalus gardineri";"Insects";"France";2012
"Rhagoletis cingulata";"Insects";"France";2010
"Scyphophorus acupunctatus";"Insects";"France";2010
"Stragania apicalis";"Insects";"France";2010
"Torymus sinensis";"Insects";"France";2010
"Xylosandrus crassiusculus";"Insects";"France";2014
"Xyloterinus politus";"Insects";"France";2017
"Bispira fabricii";"Invertebrates (excl. Arthropods, Molluscs)";"France";2010
"Euchone limnicola";"Invertebrates (excl. Arthropods, Molluscs)";"France";2015
"Oulastrea crispata";"Invertebrates (excl. Arthropods, Molluscs)";"France";2012
"Chromodoris quadricolor";"Molluscs";"France";2014
"Dreissena rostriformis";"Molluscs";"France";2011
"Stramonita haemastoma";"Molluscs";"France";2018
"Trinchesia genovae";"Molluscs";"France";2017
"Acacia baileyana";"Vascular plants";"France";2011
"Actinidia chinensis";"Vascular plants";"France";2012
"Agapanthus praecox";"Vascular plants";"France";2014
"Althenia orientalis";"Vascular plants";"France";2012
"Aquilegia dumeticola";"Vascular plants";"France";2012
"Astragalus genargenteus";"Vascular plants";"France";2012
"Berberis julianae";"Vascular plants";"France";2011
"Bromus cebadilla";"Vascular plants";"France";2011
"Bromus fasciculatus";"Vascular plants";"France";2014
"Bupleurum virgatum";"Vascular plants";"France";2011
"Cardamine graeca";"Vascular plants";"France";2012
"Cardamine zahlbruckneriana";"Vascular plants";"France";2011
"Cerinthe tenuiflora";"Vascular plants";"France";2011
"Chrysanthemum indicum";"Vascular plants";"France";2014
"Cinnamomum camphora";"Vascular plants";"France";2014
"Claytonia sibirica";"Vascular plants";"France";2011
"Cosmos sulphureus";"Vascular plants";"France";2011
"Cuscuta monogyna";"Vascular plants";"France";2013
"Dactylorhiza grandis";"Vascular plants";"France";2010
"Dimorphotheca barberae";"Vascular plants";"France";2014
"Diplachne fusca";"Vascular plants";"France";2012
"Dolichandra unguis-cati";"Vascular plants";"France";2013
"Dryopteris erythrosora";"Vascular plants";"France";2010
"Elaeagnus umbellata";"Vascular plants";"France";2012
"Equisetum trachyodon";"Vascular plants";"France";2012
"Erythrina crista-galli";"Vascular plants";"France";2014
"Eucalyptus sideroxylon";"Vascular plants";"France";2011
"Festuca alfrediana";"Vascular plants";"France";2012
"Festuca alopecuros";"Vascular plants";"France";2014
"Fumaria reuteri";"Vascular plants";"France";2010
"Gagea dubia";"Vascular plants";"France";2011
"Gaillardia aristata";"Vascular plants";"France";2014
"Geranium maderense";"Vascular plants";"France";2012
"Gunnera tinctoria";"Vascular plants";"France";2010
"Hechtia pitcairniifolia";"Vascular plants";"France";2011
"Hedera colchica";"Vascular plants";"France";2010
"Herniaria litardierei";"Vascular plants";"France";2014
"Hieracium blancii";"Vascular plants";"France";2012
"Hieracium fuscocinereum";"Vascular plants";"France";2012
"Hieracium legrandianum";"Vascular plants";"France";2011
"Hylotelephium spectabile";"Vascular plants";"France";2010
"Hypericum mutilum";"Vascular plants";"France";2013
"Hypochoeris radicata";"Vascular plants";"France";2010
"Lespedeza bicolor";"Vascular plants";"France";2012
"Limonium densissimum";"Vascular plants";"France";2015
"Linaria maroccana";"Vascular plants";"France";2012
"Linaria purpurea";"Vascular plants";"France";2010
"Lonicera fragrantissima";"Vascular plants";"France";2012
"Lycianthes rantonnetii";"Vascular plants";"France";2011
"Magydaris pastinacea";"Vascular plants";"France";2011
"Marsilea drummondii";"Vascular plants";"France";2010
"Micromeria filiformis";"Vascular plants";"France";2012
"Myosotis gallica";"Vascular plants";"France";2011
"Myosotis michaelae";"Vascular plants";"France";2011
"Nandina domestica";"Vascular plants";"France";2011
"Nothoscordum gracile";"Vascular plants";"France";2011
"Oenothera parviflora";"Vascular plants";"France";2012
"Ophrys arachnitiformis";"Vascular plants";"France";2011
"Phormium tenax";"Vascular plants";"France";2010
"Picea omorika";"Vascular plants";"France";2011
"Pteris parkeri";"Vascular plants";"France";2010
"Ranunculus polyanthemos";"Vascular plants";"France";2011
"Roemeria apula";"Vascular plants";"France";2012
"Rosa moschata";"Vascular plants";"France";2010
"Rubus adscitus";"Vascular plants";"France";2011
"Rubus andegavensis";"Vascular plants";"France";2011
"Rubus armeniacus";"Vascular plants";"France";2011
"Rubus phyllostachys";"Vascular plants";"France";2013
"Rudbeckia fulgida";"Vascular plants";"France";2014
"Salix apennina";"Vascular plants";"France";2014
"Salvia yangii";"Vascular plants";"France";2010
"Sedum sarmentosum";"Vascular plants";"France";2010
"Sigesbeckia jorullensis";"Vascular plants";"France";2011
"Stachys cretica";"Vascular plants";"France";2010
"Symphytum caucasicum";"Vascular plants";"France";2011
"Symphytum grandiflorum";"Vascular plants";"France";2013
"Taraxacum anglicum";"Vascular plants";"France";2012
"Taraxacum autumnaliforme";"Vascular plants";"France";2013
"Taraxacum ceratophorum";"Vascular plants";"France";2010
"Taraxacum delanghei";"Vascular plants";"France";2010
"Taraxacum lambinonii";"Vascular plants";"France";2010
"Taraxacum mattmarkense";"Vascular plants";"France";2010
"Taraxacum mediterraneum";"Vascular plants";"France";2013
"Taraxacum multilepis";"Vascular plants";"France";2011
"Taraxacum pseudodunense";"Vascular plants";"France";2014
"Taraxacum roseocarpum";"Vascular plants";"France";2011
"Taraxacum sellandii";"Vascular plants";"France";2010
"Tecoma stans";"Vascular plants";"France";2014
"Tellima grandiflora";"Vascular plants";"France";2013
"Tradescantia andersoniana";"Vascular plants";"France";2014
"Antithamnionella spirographidis";"Algae";"Germany";2012
"Ceramium cimbricum";"Algae";"Germany";2010
"Ceramium circinatum";"Algae";"Germany";2015
"Dasysiphonia japonica";"Algae";"Germany";2015
"Ulva gigantea";"Algae";"Germany";2015
"Umbraulva dangeardii";"Algae";"Germany";2014
"Arachnidium lacourti";"Bryozoa";"Germany";2014
"Bugula neritina";"Bryozoa";"Germany";2010
"Fenestrulina delicia";"Bryozoa";"Germany";2011
"Pacificincola perforata";"Bryozoa";"Germany";2019
"Pectinatella magnifica";"Bryozoa";"Germany";2011
"Schizobrachiella verrilli";"Bryozoa";"Germany";2011
"Schizoporella japonica";"Bryozoa";"Germany";2018
"Smittoidea prolifica";"Bryozoa";"Germany";2011
"Watersipora subtorquata";"Bryozoa";"Germany";2012
"Evadne anonyx";"Crustaceans";"Germany";2014
"Grandidierella japonica";"Crustaceans";"Germany";2015
"Homarus americanus";"Crustaceans";"Germany";2014
"Macrobrachium dayanum";"Crustaceans";"Germany";2011
"Melita nitida";"Crustaceans";"Germany";2010
"Monocorophium uenoi";"Crustaceans";"Germany";2016
"Neocaridina davidi";"Crustaceans";"Germany";2011
"Nippoleucon hinumensis";"Crustaceans";"Germany";2019
"Paramysis lacustris";"Crustaceans";"Germany";2013
"Sinelobus stanfordi";"Crustaceans";"Germany";2012
"Synidotea laticauda";"Crustaceans";"Germany";2011
"Eutypella parasitica";"Fungi";"Germany";2013
"Neonectria neomacrospora";"Fungi";"Germany";2018
"Sirococcus tsugae";"Fungi";"Germany";2014
"Aproceros leucopoda";"Insects";"Germany";2010
"Aromia bungii";"Insects";"Germany";2011
"Cyclorhipidion pelliculosum";"Insects";"Germany";2013
"Drosophila suzukii";"Insects";"Germany";2011
"Dryocosmus kuriphilus";"Insects";"Germany";2012
"Halyomorpha halys";"Insects";"Germany";2011
"Psacothea hilaris";"Insects";"Germany";2012
"Pseudococcus viburni";"Insects";"Germany";2011
"Rhagoletis suavis";"Insects";"Germany";2013
"Stragania apicalis";"Insects";"Germany";2012
"Blackfordia virginica";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2014
"Haliclystus tenuis";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2010
"Moerisia inkermanica";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2018
"Neodexiospira brasiliensis";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2014
"Pileolaria berkeleyana";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2013
"Pileolaria militaris";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2012
"Polydora websteri";"Invertebrates (excl. Arthropods, Molluscs)";"Germany";2014
"Haminella solitaria";"Molluscs";"Germany";2016
"Mulinia lateralis";"Molluscs";"Germany";2017
"Rangia cuneata";"Molluscs";"Germany";2013
"Ruditapes philippinarum";"Molluscs";"Germany";2016
"Asplenium foresiense";"Vascular plants";"Germany";2017
"Dryopteris oreades";"Vascular plants";"Germany";2017
"Ophidiomyces ophidiicola";"Fungi";"United Kingdom";2010
"Acetabularia caliculus";"Algae";"Greece";2018
"Caulerpa taxifolia";"Algae";"Greece";2010
"Codium taylorii";"Algae";"Greece";2011
"Celleporaria brunnea";"Bryozoa";"Greece";2015
"Celleporaria vermiformis";"Bryozoa";"Greece";2015
"Tricellaria inopinata";"Bryozoa";"Greece";2015
"Actaeodes tomentosus";"Crustaceans";"Greece";2013
"Bemlos leptocheirus";"Crustaceans";"Greece";2015
"Cymodoce fuscina";"Crustaceans";"Greece";2015
"Dyspanopeus sayi";"Crustaceans";"Greece";2015
"Erugosquilla massavensis";"Crustaceans";"Greece";2017
"Gonioinfradens paucidentatus";"Crustaceans";"Greece";2010
"Matuta victor";"Crustaceans";"Greece";2018
"Megabalanus tintinnabulum";"Crustaceans";"Greece";2010
"Paranthura japonica";"Crustaceans";"Greece";2012
"Penaeus aztecus";"Crustaceans";"Greece";2012
"Penaeus hathor";"Crustaceans";"Greece";2012
"Penaeus pulchricaudatus";"Crustaceans";"Greece";2017
"Sphaeroma walkeri";"Crustaceans";"Greece";2015
"Xanthias lamarckii";"Crustaceans";"Greece";2013
"Adistemia watsoni";"Insects";"Greece";2011
"Aleurocanthus spiniferus";"Insects";"Greece";2016
"Belonochilus numenius";"Insects";"Greece";2017
"Carpelimus gracilis";"Insects";"Greece";2017
"Ceroplastes japonicus";"Insects";"Greece";2012
"Chalybion zimmermanni";"Insects";"Greece";2020
"Cilea silphoides";"Insects";"Greece";2017
"Corythauma ayyari";"Insects";"Greece";2015
"Corythucha arcuata";"Insects";"Greece";2018
"Cydalima perspectalis";"Insects";"Greece";2014
"Diestota guadalupensis";"Insects";"Greece";2017
"Drosophila suzukii";"Insects";"Greece";2014
"Dryocosmus kuriphilus";"Insects";"Greece";2014
"Forficula lucasi";"Insects";"Greece";2020
"Glycaspis brimblecombei";"Insects";"Greece";2013
"Halyomorpha halys";"Insects";"Greece";2011
"Hermetia illucens";"Insects";"Greece";2015
"Hierodula tenuidentata";"Insects";"Greece";2015
"Isodontia mexicana";"Insects";"Greece";2016
"Lantanophaga pusillidactylus";"Insects";"Greece";2018
"Leptoglossus occidentalis";"Insects";"Greece";2011
"Liposcelis pearmani";"Insects";"Greece";2017
"Lissorhoptrus oryzophilus";"Insects";"Greece";2016
"Lithocharis nigriceps";"Insects";"Greece";2017
"Maconellicoccus hirsutus";"Insects";"Greece";2014
"Meselatus bicolor";"Insects";"Greece";2012
"Monocrepidius posticus";"Insects";"Greece";2011
"Nemausus sordidatus";"Insects";"Greece";2020
"Odontofroggatia ishii";"Insects";"Greece";2012
"Paraleyrodes minei";"Insects";"Greece";2015
"Paraphloeostiba gayndahensis";"Insects";"Greece";2017
"Parasaissetia nigra";"Insects";"Greece";2014
"Parthenolecanium pruinosum";"Insects";"Greece";2013
"Phenacoccus peruvianus";"Insects";"Greece";2012
"Phenolia picta";"Insects";"Greece";2018
"Philotrypesis emeryi";"Insects";"Greece";2012
"Phytoliriomyza jacarandae";"Insects";"Greece";2013
"Platylomalus gardineri";"Insects";"Greece";2013
"Platyobria biemani";"Insects";"Greece";2014
"Pseudococcus comstocki";"Insects";"Greece";2013
"Sceliphron deforme";"Insects";"Greece";2011
"Sinoxylon anale";"Insects";"Greece";2015
"Sinoxylon unidentatum";"Insects";"Greece";2015
"Sphodromantis viridis";"Insects";"Greece";2019
"Spilostethus furcula";"Insects";"Greece";2018
"Stephanitis lauri";"Insects";"Greece";2012
"Steraspis squamosa";"Insects";"Greece";2017
"Sycophila maculifacies";"Insects";"Greece";2012
"Tetramorium bicarinatum";"Insects";"Greece";2014
"Thaumastocoris peregrinus";"Insects";"Greece";2016
"Torymus sinensis";"Insects";"Greece";2016
"Trichopoda pennipes";"Insects";"Greece";2011
"Walkerella microcarpae";"Insects";"Greece";2012
"Xylotrechus chinensis";"Insects";"Greece";2017
"Zelus renardii";"Insects";"Greece";2010
"Branchiomma bairdi";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2014
"Caenoplana variegata";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2018
"Chrysaora achlyos";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2018
"Craspedacusta sowerbii";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2014
"Diadema setosum";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2010
"Dorvillea similis";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2014
"Glyphidohaptor plectocirra";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2010
"Hydroides brachyacantha";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2015
"Leonnates persicus";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2013
"Paraleucilla magna";"Invertebrates (excl. Arthropods, Molluscs)";"Greece";2014
"Sousa plumbea";"Mammals";"Greece";2017
"Cerithidium perparvulum";"Molluscs";"Greece";2010
"Cerithiopsis pulvis";"Molluscs";"Greece";2010
"Chama pacifica";"Molluscs";"Greece";2011
"Dendostrea frons";"Molluscs";"Greece";2010
"Diodora funiculata";"Molluscs";"Greece";2013
"Euthymella colzumensis";"Molluscs";"Greece";2017
"Isognomon legumen";"Molluscs";"Greece";2016
"Oscilla galilae";"Molluscs";"Greece";2016
"Pyrunculus fourierii";"Molluscs";"Greece";2013
"Rhinoclavis kochi";"Molluscs";"Greece";2015
"Septifer cumingii";"Molluscs";"Greece";2010
"Sticteulima lentiginosa";"Molluscs";"Greece";2015
"Syrnola fasciata";"Molluscs";"Greece";2012
"Tayuva lilacina";"Molluscs";"Greece";2012
"Austrocylindropuntia subulata";"Vascular plants";"Greece";2014
"Bauhinia variegata";"Vascular plants";"Greece";2013
"Brachychiton populneus";"Vascular plants";"Greece";2012
"Cascabela thevetia";"Vascular plants";"Greece";2014
"Erythrina lysistemon";"Vascular plants";"Greece";2014
"Ficus microcarpa";"Vascular plants";"Greece";2014
"Halophila decipiens";"Vascular plants";"Greece";2018
"Hibiscus rosa-sinensis";"Vascular plants";"Greece";2015
"Jacaranda mimosifolia";"Vascular plants";"Greece";2014
"Myoporum tenuifolium";"Vascular plants";"Greece";2013
"Phymosia umbellata";"Vascular plants";"Greece";2014
"Pittosporum tobira";"Vascular plants";"Greece";2014
"Senecio angulatus";"Vascular plants";"Greece";2014
"Trachelium caeruleum";"Vascular plants";"Greece";2012
"Washingtonia filifera";"Vascular plants";"Greece";2014
"Yucca gloriosa";"Vascular plants";"Greece";2011
"Eutypella parasitica";"Fungi";"Hungary";2015
"Acrosternum heegeri";"Insects";"Hungary";2015
"Callopistromyia annulipes";"Insects";"Hungary";2016
"Corythucha arcuata";"Insects";"Hungary";2013
"Cydalima perspectalis";"Insects";"Hungary";2011
"Drepanaphis acerifoliae";"Insects";"Hungary";2010
"Drosophila suzukii";"Insects";"Hungary";2012
"Graphocephala fennahi";"Insects";"Hungary";2012
"Halyomorpha halys";"Insects";"Hungary";2013
"Luperomorpha xanthodera";"Insects";"Hungary";2010
"Phthorimaea absoluta";"Insects";"Hungary";2010
"Rhagoletis completa";"Insects";"Hungary";2011
"Stephanitis takeyai";"Insects";"Hungary";2011
"Tautoneura polymitusa";"Insects";"Hungary";2012
"Trichoferus campestris";"Insects";"Hungary";2010
"Trichopoda pennipes";"Insects";"Hungary";2014
"Adiantum capillus-veneris";"Vascular plants";"Hungary";2017
"Najas gracillima";"Vascular plants";"Hungary";2012
"Boreoiulus tenuis";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Iceland";2010
"Bombus pascuorum";"Insects";"Iceland";2010
"Nematus ribesii";"Insects";"Iceland";2010
"Magallana gigas";"Molluscs";"Iceland";2013
"Crocus vernus";"Vascular plants";"Iceland";2015
"Dianthus deltoides";"Vascular plants";"Iceland";2010
"Doronicum columnae";"Vascular plants";"Iceland";2011
"Doronicum pardalianches";"Vascular plants";"Iceland";2011
"Erigeron speciosus";"Vascular plants";"Iceland";2012
"Fragaria moschata";"Vascular plants";"Iceland";2015
"Hordeum brachyantherum";"Vascular plants";"Iceland";2011
"Hornungia alpina";"Vascular plants";"Iceland";2010
"Jacobaea vulgaris";"Vascular plants";"Iceland";2013
"Leymus mollis";"Vascular plants";"Iceland";2010
"Pilosella officinarum";"Vascular plants";"Iceland";2010
"Primula elatior";"Vascular plants";"Iceland";2014
"Pulmonaria mollis";"Vascular plants";"Iceland";2015
"Rosa acicularis";"Vascular plants";"Iceland";2013
"Salix viminalis";"Vascular plants";"Iceland";2012
"Sambucus racemosa";"Vascular plants";"Iceland";2010
"Saxifraga arendsii";"Vascular plants";"Iceland";2010
"Scilla bifolia";"Vascular plants";"Iceland";2015
"Scilla luciliae";"Vascular plants";"Iceland";2015
"Senecio viscosus";"Vascular plants";"Iceland";2013
"Triticum aestivum";"Vascular plants";"Iceland";2010
"Trollius europaeus";"Vascular plants";"Iceland";2011
"Vallisneria spiralis";"Vascular plants";"Iceland";2013
"Gracilaria vermiculophylla";"Algae";"Ireland";2012
"Bugulina fulva";"Bryozoa";"Ireland";2012
"Bugulina simplex";"Bryozoa";"Ireland";2011
"Watersipora subatra";"Bryozoa";"Ireland";2011
"Watersipora subtorquata";"Bryozoa";"Ireland";2011
"Hymenoscyphus fraxineus";"Fungi";"Ireland";2012
"Paropsisterna selmani";"Insects";"Ireland";2013
"Marenzelleria viridis";"Invertebrates (excl. Arthropods, Molluscs)";"Ireland";2011
"Procyon lotor";"Mammals";"Ireland";2011
"Sus scrofa";"Mammals";"Ireland";2011
"Tamias sibiricus";"Mammals";"Ireland";2011
"Corbicula fluminea";"Molluscs";"Ireland";2010
"Equisetum arvense";"Vascular plants";"Ireland";2010
"Acanthosiphonia echinata";"Algae";"Italy";2018
"Aglaothamnion halliae";"Algae";"Italy";2016
"Caulacanthus okamurae";"Algae";"Italy";2018
"Chondria curvilineata";"Algae";"Italy";2015
"Grateloupia minima";"Algae";"Italy";2010
"Melanothamnus japonicus";"Algae";"Italy";2016
"Polysiphonia schneideri";"Algae";"Italy";2017
"Pyropia yezoensis";"Algae";"Italy";2010
"Spermothamnion cymosum";"Algae";"Italy";2010
"Ulva australis";"Algae";"Italy";2011
"Ulva californica";"Algae";"Italy";2011
"Ulva ohnoi";"Algae";"Italy";2011
"Achelia sawayai";"Arthropods p.p. (Myriapods, Diplopods etc.)";"Italy";2016
"Xylella fastidiosa";"Bacteria and protozoans";"Italy";2013
"Celleporaria brunnea";"Bryozoa";"Italy";2010
"Smittina nitidissima";"Bryozoa";"Italy";2014
"Watersipora arcuata";"Bryozoa";"Italy";2013
"Charybdis feriata";"Crustaceans";"Italy";2015
"Erugosquilla massavensis";"Crustaceans";"Italy";2017
"Grandidierella japonica";"Crustaceans";"Italy";2013
"Ianiropsis serricaudis";"Crustaceans";"Italy";2012
"Palaemon macrodactylus";"Crustaceans";"Italy";2012
"Parametopella cypris";"Crustaceans";"Italy";2014
"Penaeus aztecus";"Crustaceans";"Italy";2014
"Sphaeroma walkeri";"Crustaceans";"Italy";2010
"Stenothoe georgiana";"Crustaceans";"Italy";2013
"Trachysalambria curvirostris";"Crustaceans";"Italy";2016
"Geosmithia morbida";"Fungi";"Italy";2013
"Hymenoscyphus fraxineus";"Fungi";"Italy";2010
"Aethina tumida";"Insects";"Italy";2014
"Aleurolobus marlatti";"Insects";"Italy";2013
"Anthonomus eugenii";"Insects";"Italy";2013
"Aphis illinoisensis";"Insects";"Italy";2011
"Aromia bungii";"Insects";"Italy";2012
"Ataenius picinus";"Insects";"Italy";2010
"Bactrocera dorsalis";"Insects";"Italy";2018
"Coptodisca juglandella";"Insects";"Italy";2010
"Corythauma ayyari";"Insects";"Italy";2012
"Cydalima perspectalis";"Insects";"Italy";2011
"Drosophila suzukii";"Insects";"Italy";2012
"Dryocosmus kuriphilus";"Insects";"Italy";2010
"Earias roseifera";"Insects";"Italy";2016
"Eurytoma plotnikovi";"Insects";"Italy";2011
"Glycaspis brimblecombei";"Insects";"Italy";2010
"Halyomorpha halys";"Insects";"Italy";2012
"Macrohomotoma gladiata";"Insects";"Italy";2011
"Myzus mumecola";"Insects";"Italy";2016
"Ophraella communa";"Insects";"Italy";2013
"Paraleyrodes minei";"Insects";"Italy";2010
"Phyllonorycter issikii";"Insects";"Italy";2011
"Pityophthorus juglandis";"Insects";"Italy";2013
"Popillia japonica";"Insects";"Italy";2014
"Psyllaephagus bliteus";"Insects";"Italy";2011
"Ricania speculum";"Insects";"Italy";2014
"Takahashia japonica";"Insects";"Italy";2017
"Thaumastocoris peregrinus";"Insects";"Italy";2011
"Vespa velutina";"Insects";"Italy";2012
"Vryburgia brevicruris";"Insects";"Italy";2010
"Xyleborus bispinatus";"Insects";"Italy";2014
"Xylosandrus compactus";"Insects";"Italy";2011
"Zaprionus tuberculatus";"Insects";"Italy";2013
"Aurelia coerulea";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2011
"Bispira polyomma";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2014
"Branchiomma bairdi";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2015
"Cassiopea andromeda";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2014
"Dorvillea similis";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2018
"Hesionura serrata";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2010
"Mawia benovici";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2013
"Meloidogyne incognita";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2010
"Pseudonereis anomala";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2013
"Rhopilema nomadica";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2015
"Spirobranchus tetraceros";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2016
"Syllis pectinans";"Invertebrates (excl. Arthropods, Molluscs)";"Italy";2013
"Callosciurus prevostii";"Mammals";"Italy";2017
"Cynomys ludovicianus";"Mammals";"Italy";2011
"Hystrix indica";"Mammals";"Italy";2017
"Phodopus roborovskii";"Mammals";"Italy";2016
"Phodopus sungorus";"Mammals";"Italy";2015
"Spermophilus citellus";"Mammals";"Italy";2013
"Tamias striatus";"Mammals";"Italy";2017
"Tenrec ecaudatus";"Mammals";"Italy";2016
"Vormela peregusna";"Mammals";"Italy";2015
"Biuve fulvipunctata";"Molluscs";"Italy";2015
"Isognomon legumen";"Molluscs";"Italy";2019
"Malleus regula";"Molluscs";"Italy";2018
"Mitrella psilla";"Molluscs";"Italy";2016
"Ajuga dictyocarpa";"Vascular plants";"Italy";2020
"Amaranthus blitum";"Vascular plants";"Italy";2012
"Amaranthus palmeri";"Vascular plants";"Italy";2014
"Aquilegia coerulea";"Vascular plants";"Italy";2019
"Arctotheca prostrata";"Vascular plants";"Italy";2018
"Aster ageratoides";"Vascular plants";"Italy";2015
"Bothriochloa saccharoides";"Vascular plants";"Italy";2019
"Bougainvillea glabra";"Vascular plants";"Italy";2018
"Brugmansia suaveolens";"Vascular plants";"Italy";2015
"Buxus microphylla";"Vascular plants";"Italy";2018
"Calycanthus floridus";"Vascular plants";"Italy";2016
"Carex tribuloides";"Vascular plants";"Italy";2020
"Cascabela thevetia";"Vascular plants";"Italy";2019
"Christella dentata";"Vascular plants";"Italy";2017
"Commelina erecta";"Vascular plants";"Italy";2018
"Coprosma repens";"Vascular plants";"Italy";2013
"Cotoneaster bullatus";"Vascular plants";"Italy";2019
"Cotoneaster coriaceus";"Vascular plants";"Italy";2010
"Cotoneaster divaricatus";"Vascular plants";"Italy";2019
"Crocus tommasinianus";"Vascular plants";"Italy";2014
"Cytisus striatus";"Vascular plants";"Italy";2017
"Dicliptera squarrosa";"Vascular plants";"Italy";2018
"Diospyros virginiana";"Vascular plants";"Italy";2017
"Elsholtzia stauntonii";"Vascular plants";"Italy";2020
"Epilobium brachycarpum";"Vascular plants";"Italy";2017
"Epilobium nummularifolium";"Vascular plants";"Italy";2013
"Erigeron annuus";"Vascular plants";"Italy";2018
"Erigeron strigosus";"Vascular plants";"Italy";2018
"Eucalyptus polyanthemos";"Vascular plants";"Italy";2018
"Euphorbia ophthalmica";"Vascular plants";"Italy";2018
"Houttuynia cordata";"Vascular plants";"Italy";2020
"Ibicella lutea";"Vascular plants";"Italy";2020
"Lantana camara";"Vascular plants";"Italy";2015
"Lantana depressa";"Vascular plants";"Italy";2014
"Leptorhabdos parviflora";"Vascular plants";"Italy";2020
"Lonicera fragrantissima";"Vascular plants";"Italy";2015
"Lycium boerhaaviifolium";"Vascular plants";"Italy";2018
"Melinis repens";"Vascular plants";"Italy";2015
"Metrosideros excelsa";"Vascular plants";"Italy";2013
"Opuntia polyacantha";"Vascular plants";"Italy";2016
"Panicum capillare";"Vascular plants";"Italy";2014
"Papaver orientale";"Vascular plants";"Italy";2020
"Paspalum dasypleurum";"Vascular plants";"Italy";2015
"Passiflora morifolia";"Vascular plants";"Italy";2019
"Pavonia hastata";"Vascular plants";"Italy";2017
"Perovskia abrotanoides x Perovskia atriplicifolia";"Vascular plants";"Italy";2013
"Phoenix roebelenii";"Vascular plants";"Italy";2018
"Physalis philadelphica";"Vascular plants";"Italy";2018
"Pittosporum crassifolium";"Vascular plants";"Italy";2013
"Pteris multifida";"Vascular plants";"Italy";2017
"Salvinia minima";"Vascular plants";"Italy";2019
"Sedum pallidum";"Vascular plants";"Italy";2020
"Semiarundinaria fastuosa";"Vascular plants";"Italy";2018
"Setaria italica";"Vascular plants";"Italy";2018
"Silene chalcedonica";"Vascular plants";"Italy";2019
"Solanum laciniatum";"Vascular plants";"Italy";2018
"Sporobolus cryptandrus";"Vascular plants";"Italy";2014
"Sporobolus michauxianus";"Vascular plants";"Italy";2015
